size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
1000,AnnSql In-Memory,0.005598545074462891,Filter1,-5.18524852312864,-2.2519248208917544,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0010287761688232422,Filter1,-6.879385368801269,-2.9876791045563578,6.907755278982137,3.0
1000,AnnSql On-Disk,0.017871618270874023,Filter1,-4.024541395943717,-1.7478361204495663,6.907755278982137,3.0
1000,AnnData Backed,0.016083955764770508,Filter1,-4.129933040213854,-1.7936071299947975,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0062444210052490234,Filter2,-5.076066853033564,-2.2045078240444815,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0006091594696044922,Filter2,-7.403430469680992,-3.2152690001368547,6.907755278982137,3.0
1000,AnnSql On-Disk,0.12304282188415527,Filter2,-2.0952228387986307,-0.9099437172479119,6.907755278982137,3.0
1000,AnnData Backed,0.02497267723083496,Filter2,-3.6899729625430107,-1.602534896004624,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0062160491943359375,Filter3,-5.0806207518013995,-2.2064855571504984,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013680458068847656,Filter3,-6.594371975777487,-2.863899360697607,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1295607089996338,Filter3,-2.0436057123287936,-0.8875266840503593,6.907755278982137,3.0
1000,AnnData Backed,0.03374481201171875,Filter3,-3.3889285916507434,-1.4717929869180766,6.907755278982137,3.0
1000,AnnSql In-Memory,0.007823705673217773,Filter4,-4.850596965410974,-2.1065874960146442,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0007708072662353516,Filter4,-7.168072194593364,-3.1130541999960304,6.907755278982137,3.0
1000,AnnSql On-Disk,0.11881399154663086,Filter4,-2.1301961050268616,-0.9251324137849659,6.907755278982137,3.0
1000,AnnData Backed,0.04098033905029297,Filter4,-3.1946628626503877,-1.3874244527903095,6.907755278982137,3.0
1000,AnnSql In-Memory,0.02114415168762207,Filter5,-3.85639192767911,-1.6748097342472816,6.907755278982137,3.0
1000,AnnData Not-Backed,0.001260519027709961,Filter5,-6.676231716083347,-2.8994505942024746,6.907755278982137,3.0
1000,AnnSql On-Disk,0.12269973754882812,Filter5,-2.098015066233915,-0.9111563662152746,6.907755278982137,3.0
1000,AnnData Backed,0.04112076759338379,Filter5,-3.1912419908551817,-1.3859387870463529,6.907755278982137,3.0
1000,AnnSql In-Memory,0.020023822784423828,Filter6,-3.910832575050445,-1.6984530069918933,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0016820430755615234,Filter6,-6.387746108031882,-2.7741628865172197,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1494441032409668,Filter6,-1.9008328474309704,-0.8255212166597162,6.907755278982137,3.0
1000,AnnData Backed,0.01272726058959961,Filter6,-4.364009082845975,-1.8952650636556776,6.907755278982137,3.0
5000,AnnSql In-Memory,0.006072282791137695,Filter1,-5.1040206669927795,-2.216648011195119,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0008182525634765625,Filter1,-7.108339511710944,-3.0871126254309185,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.01859903335571289,Filter1,-3.984645669736438,-1.730509626706222,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.048067569732666016,Filter1,-3.03514755519504,-1.3181478349833513,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.005898237228393555,Filter2,-5.133101747561111,-2.229277764013729,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0007812976837158203,Filter2,-7.1545543236199824,-3.1071834632252107,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.11445426940917969,Filter2,-2.167579929573083,-0.941368002497829,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.08992719650268555,Filter2,-2.4087548637584124,-1.0461089455878978,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.005970954895019531,Filter3,-5.120848415453596,-2.2239562094945073,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0009987354278564453,Filter3,-6.909020651371762,-3.000549544246367,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.11987638473510742,Filter3,-2.12129419435322,-0.9212663631010076,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.13174700736999512,Filter3,-2.0268718062778825,-0.8802592409917613,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.0063877105712890625,Filter4,-5.053379357844756,-2.194654770075776,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0011777877807617188,Filter4,-6.744117362136828,-2.928932955683939,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.11812257766723633,Filter4,-2.1360323998992423,-0.9276670844428011,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.17423510551452637,Filter4,-1.7473497106734002,-0.7588643373007012,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.006685733795166016,Filter5,-5.00777930703772,-2.174850919635772,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0011208057403564453,Filter5,-6.793707441294666,-2.9504696534193338,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.11902165412902832,Filter5,-2.1284498349538534,-0.9243740183283456,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.17255425453186035,Filter5,-1.7570435729361853,-0.7630743281897591,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.007549285888671875,Filter6,-4.88630230447645,-2.122094127745265,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0011258125305175781,Filter6,-6.789250254673338,-2.948533921864878,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.12044405937194824,Filter6,-2.1165698714202463,-0.9192146157204882,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.04368758201599121,Filter6,-3.130691381656738,-1.3596419915955886,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,0.006348848342895508,Filter1,-5.059481845849395,-2.197305046942071,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0009911060333251953,Filter1,-6.9166890330661595,-3.0038798801013717,9.210340371976184,4.0
10000,AnnSql On-Disk,0.019536495208740234,Filter1,-3.935471013412317,-1.7091533448151677,9.210340371976184,4.0
10000,AnnData Backed,0.0937657356262207,Filter1,-2.3669557815366074,-1.0279558348303475,9.210340371976184,4.0
10000,AnnSql In-Memory,0.006780385971069336,Filter2,-4.993721250763831,-2.1687455833697364,9.210340371976184,4.0
10000,AnnData Not-Backed,0.001088857650756836,Filter2,-6.822626159133798,-2.963028893000586,9.210340371976184,4.0
10000,AnnSql On-Disk,0.12083768844604492,Filter2,-2.1133070516929298,-0.9177975911174696,9.210340371976184,4.0
10000,AnnData Backed,0.15456843376159668,Filter2,-1.8671183437436951,-0.8108791937482257,9.210340371976184,4.0
10000,AnnSql In-Memory,0.006427288055419922,Filter3,-5.047202594020582,-2.1919722356309173,9.210340371976184,4.0
10000,AnnData Not-Backed,0.001131296157836914,Filter3,-6.784391261274768,-2.9464236878442747,9.210340371976184,4.0
10000,AnnSql On-Disk,0.11844801902770996,Filter3,-2.1332810726395226,-0.9264721981959948,9.210340371976184,4.0
10000,AnnData Backed,0.22369074821472168,Filter3,-1.497490769344351,-0.650351977827307,9.210340371976184,4.0
10000,AnnSql In-Memory,0.007359027862548828,Filter4,-4.91182743885802,-2.1331795527570203,9.210340371976184,4.0
10000,AnnData Not-Backed,0.002211332321166992,Filter4,-6.114160084843161,-2.6553459863205027,9.210340371976184,4.0
10000,AnnSql On-Disk,0.11883044242858887,Filter4,-2.130057655480966,-0.9250722859111613,9.210340371976184,4.0
10000,AnnData Backed,0.3004739284515381,Filter4,-1.2023942893313952,-0.522193204928607,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0065038204193115234,Filter5,-5.035365517924775,-2.186831458800639,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0012969970703125,Filter5,-6.647703632468809,-2.8870610049094063,9.210340371976184,4.0
10000,AnnSql On-Disk,0.12014555931091309,Filter5,-2.119051277025642,-0.9202922764822754,9.210340371976184,4.0
10000,AnnData Backed,0.3001844882965088,Filter5,-1.2033580323485964,-0.5226117532029502,9.210340371976184,4.0
10000,AnnSql In-Memory,0.008682489395141602,Filter6,-4.746446994752883,-2.06135573846745,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0012726783752441406,Filter6,-6.666631642354328,-2.8952813351560973,9.210340371976184,4.0
10000,AnnSql On-Disk,0.13249564170837402,Filter6,-2.0212055268638274,-0.8777984071093151,9.210340371976184,4.0
10000,AnnData Backed,0.07758164405822754,Filter6,-2.5564244254156945,-1.1102410213607272,9.210340371976184,4.0
15000,AnnSql In-Memory,0.00893402099609375,Filter1,-4.717888705921353,-2.048953031215317,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.002554178237915039,Filter1,-5.970024736056239,-2.592748799695142,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.028577566146850586,Filter1,-3.5551332694191116,-1.5439747613393868,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.1591792106628418,Filter1,-1.8377246003876684,-0.798113653206223,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.00667262077331543,Filter2,-5.009742576689726,-2.1757035568121266,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0012295246124267578,Filter2,-6.701127678267838,-2.9102627732008717,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.11540532112121582,Filter2,-2.159304815735343,-0.9377741662209775,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.24077630043029785,Filter2,-1.4238869905310099,-0.6183862628414454,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.01398015022277832,Filter3,-4.270116796684969,-1.8544881618826723,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.001382589340209961,Filter3,-6.583797204442356,-2.859306795859371,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.12747764587402344,Filter3,-2.0598142562333877,-0.8945659652278111,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.34622740745544434,Filter3,-1.0606594728355656,-0.4606385562308982,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.007104396820068359,Filter4,-4.947041416171512,-2.1484727887901363,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0016734600067138672,Filter4,-6.392861935588376,-2.776384662195373,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.12197327613830566,Filter4,-2.103953306290083,-0.9137353111038852,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.46550869941711426,Filter4,-0.7646244941107156,-0.3320721985203493,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.006873369216918945,Filter5,-4.980100868378803,-2.162830326458507,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0015597343444824219,Filter5,-6.463239764220468,-2.8069493648186237,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1168978214263916,Filter5,-2.1464550468934114,-0.9321935825191943,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.47278761863708496,Filter5,-0.7491090005489525,-0.32533390528247014,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.009690046310424805,Filter6,-4.636656073893276,-2.013674147375046,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0014472007751464844,Filter6,-6.538124088265253,-2.839471213532329,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.12757658958435059,Filter6,-2.059038392110898,-0.8942290117207072,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.11491107940673828,Filter6,-2.1635966722597306,-0.9396380958266395,9.615805480084347,4.176091259055681
20000,AnnSql In-Memory,0.006849527359008789,Filter1,-4.98357562777337,-2.1643393952895087,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0014786720275878906,Filter1,-6.516610872658402,-2.8301281427062785,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.016188621520996094,Filter1,-4.123446658772009,-1.7907901303270846,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.7693197727203369,Filter1,-0.2622485666243067,-0.11389310537197368,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.006678342819213867,Filter2,-5.008885403166762,-2.1753312910810694,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.001573324203491211,Filter2,-6.454564570935375,-2.803181776245464,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11409139633178711,Filter2,-2.1707554295865648,-0.9427471046309679,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5878143310546875,Filter2,-0.5313441444597413,-0.23075982993046995,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.0063931941986083984,Filter3,-5.052521260901771,-2.1942821033084994,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0016744136810302734,Filter3,-6.392292216159777,-2.7761372361912997,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11317873001098633,Filter3,-2.1787870282974375,-0.9462351836319612,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.41143298149108887,Filter3,-0.8881091360629536,-0.38570089712000505,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.006604909896850586,Filter4,-5.019941982758643,-2.1801331025865474,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.002185344696044922,Filter4,-6.125981707249728,-2.6604800516988183,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11220693588256836,Filter4,-2.1874104706689512,-0.9499802970689204,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5464668273925781,Filter4,-0.6042816733129418,-0.26243619623507414,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.006869792938232422,Filter5,-4.980621313197378,-2.163056352771349,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0019643306732177734,Filter5,-6.232603716003207,-2.7067854017498947,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11566805839538574,Filter5,-2.15703075553901,-0.9367865544261942,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5561428070068359,Filter5,-0.5867301705765359,-0.2548136754475432,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.011144638061523438,Filter6,-4.496796788084524,-1.9529340313053751,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.001544952392578125,Filter6,-6.472762182972477,-2.811084898736993,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.13193106651306152,Filter6,-2.025475716187788,-0.8796529267693933,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.15658354759216309,Filter6,-1.8541655610202177,-0.8052538716861276,9.903487552536127,4.301029995663981
25000,AnnSql In-Memory,0.007065534591674805,Filter1,-4.952526598096858,-2.1508549730325495,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.001567840576171875,Filter1,-6.458056035582781,-2.8046981000755924,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.01719975471496582,Filter1,-4.062860156022216,-1.7644777465050334,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.0078978538513184,Filter1,0.007866829049429806,0.0034165204462435687,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.007765054702758789,Filter2,-4.85812177762088,-2.1098554804347653,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0022749900817871094,Filter2,-6.085779586242745,-2.643020492384679,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.13335061073303223,Filter2,-2.0147734484393505,-0.8750049909423958,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.9229395389556885,Filter2,-0.08019155154824052,-0.03482674833266103,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.007097482681274414,Filter3,-4.9480151097364455,-2.1488956585324512,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0019369125366210938,Filter3,-6.246660049618521,-2.7128899898748173,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1225736141204834,Filter3,-2.0990434978886605,-0.9116030084079454,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.5242269039154053,Filter3,-0.6458306656490619,-0.2804806943352916,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.006535053253173828,Filter4,-5.030574783021965,-2.184750869068088,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0026900768280029297,Filter4,-5.918185525180351,-2.5702353164655247,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1187131404876709,Filter4,-2.1310452801434603,-0.9255012058522742,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.723168134689331,Filter4,-0.32411353242174085,-0.14076071864093276,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0071506500244140625,Filter5,-4.940552013903049,-2.145654477194092,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.002450227737426758,Filter5,-6.011574304693724,-2.610793548079862,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1283426284790039,Filter5,-2.053051806278843,-0.8916290705284056,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.6817336082458496,Filter5,-0.38311630118927714,-0.1663852955336873,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.01083827018737793,Filter6,-4.524671872514525,-1.9650400266559118,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0017893314361572266,Filter6,-6.325913228251235,-2.7473092080282973,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.13995122909545898,Filter6,-1.9664612806693933,-0.8540232830711192,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.25269412994384766,Filter6,-1.3755754942054488,-0.597404846574765,10.126631103850338,4.3979400086720375
30000,AnnSql In-Memory,0.005559206008911133,Filter1,-5.192299985069804,-2.2549872319021524,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0016293525695800781,Filter1,-6.41957253964356,-2.7879849301448423,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.016759157180786133,Filter1,-4.088810472735254,-1.7757478258571475,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.8940579891204834,Filter1,-0.11198464112423956,-0.048634311698173206,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.006716489791870117,Filter2,-5.003189613320901,-2.1728576409809315,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0022149085998535156,Filter2,-6.112544140510913,-2.6546441906139444,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.11862325668334961,Filter2,-2.1318027181908055,-0.9258301570166197,10.308952660644293,4.477121254719663
30000,AnnData Backed,1.063495397567749,Filter2,0.06156102802091006,0.026735614769772702,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.007808685302734375,Filter3,-4.852518664417726,-2.107422079289156,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0022656917572021484,Filter3,-6.089875155107482,-2.644799175342889,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.1219024658203125,Filter3,-2.104534014477083,-0.9139875094650954,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.6151986122131348,Filter3,-0.48581011662365237,-0.21098465290242746,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.006750822067260742,Filter4,-4.998090993770892,-2.1706433386450383,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.002801656723022461,Filter4,-5.877544349984856,-2.552585078340058,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.11380434036254883,Filter4,-2.1732746177487847,-0.9438411741486962,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.7829017639160156,Filter4,-0.2447480520167568,-0.10629272844744753,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.007059335708618164,Filter5,-4.953404324167657,-2.1512361646217197,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0023758411407470703,Filter5,-6.042403739671902,-2.62418260157108,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.11661124229431152,Filter5,-2.1489095920951726,-0.9332595779559012,10.308952660644293,4.477121254719663
